"HMDBID","KEGGID","Name","Origin","Links","Diff"
"HMDB0029683","C10759","(15:3)-Anacardic acid","Food related","Food related(FooDB:FDB000869 HMDB:HMDB0029683)",0
NA,NA,"(2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid","Unknown",NA,0
"HMDB0248946","D01594","[(1-Benzyl-1H-indazol-3-yl)oxyacetic acid","Drug related","Drug related(DrugBank:DB13501 KEGG:D01594)",0
"HMDB0002123","C16361","1,3,7-Trimethyluric acid","Microbiota; Food related","Microbiota(KEGG:C16361); Food related(FooDB:FDB030187 HMDB:HMDB0002123)",0
"HMDB0245045","C02497","1,4-Butynediol","Unknown",NA,0
"HMDB0002712","C07326","1,5-Anhydrosorbitol","Food related","Food related(FooDB:FDB023050)",0
"HMDB0011103","C16356","1,7-Dimethyluric acid","Host; Microbiota; Food related","Microbiota(KEGG:C16356); Food related(FooDB:FDB027886)",0
"HMDB0244272","D07666","10-Hydroxydecanoic acid","Drug related","Drug related(KEGG:D07666)",0
"HMDB0000328",NA,"12-Ketodeoxycholic acid","Food related","Food related(FooDB:FDB021953 HMDB:HMDB0000328)",0
NA,NA,"13-Hydroxy-9Z,11E-octadecadienoic acid","Unknown",NA,1
NA,NA,"1-Methylpseudouridine","Unknown",NA,0
"HMDB0010738","C16358","1-Methylxanthine","Host; Microbiota; Food related","Microbiota(KEGG:C16358); Food related(FooDB:FDB027885)",1
"HMDB0245045","C02497","1-Palmitoyl-2-hydroxy-sn-glycero-3-phospho-(1-rac-glycerol)","Unknown",NA,0
"HMDB0244272","C02774","2,3-Dihydroxybenzoic acid A","Unknown",NA,0
"HMDB0001370","C00666","2,6-Diaminopimelic acid","Microbiota; Food related; Drug related","Microbiota(BIGG:26dap_LL HMDB:HMDB0001370 KEGG:C00666); Food related(FooDB:FDB030951 HMDB:HMDB0001370); Drug related(DrugBank:DB03590)",1
"HMDB0240311","C06342","2,8-Quinolinediol","Unknown",NA,0
NA,NA,"2-[4-(Acetylamino)phenyl-4-quinolinecarboxylic acid","Unknown",NA,0
NA,NA,"2-{[2-Hydroxy-1,1-bis(hydroxymethyl)ethylammonio}ethanesulfonate","Unknown",NA,1
"HMDB0060374","C05353","2-Amino-3-methoxybenzoic acid","Drug related","Drug related(DrugBank:DB02371)",0
"HMDB0060374","C05831","2-Aminonicotinic acid","Unknown",NA,0
NA,"C01987","2-Aminophenol","Microbiota; Drug related","Microbiota(KEGG:C01987); Drug related(DrugBank:DB01726)",0
"HMDB0000014","C00881","2-Deoxycytidine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:dcyt ChEBI:15698 KEGG:C00881,D12465); Food related(FooDB:FDB021871 HMDB:HMDB0000014); Drug related(DrugBank:DB02594 KEGG:C00881,D12465)",0
"HMDB0003224","C01801","2-Deoxyribose","Host; Microbiota; Food related","Microbiota(BIGG:drib ChEBI:28816 KEGG:C01801); Food related(FooDB:FDB023126)",1
"HMDB0000012","C00526","2-Deoxyuridine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:duri ChEBI:16450 KEGG:C00526); Food related(FooDB:FDB021870 HMDB:HMDB0000012); Drug related(DrugBank:DB02256)",0
NA,NA,"2-Dodecoxyethyl hydrogen sulfate","Unknown",NA,0
"HMDB0034170","C06202","2-Hydroxybenzaldehyde","Microbiota; Food related","Microbiota(KEGG:C06202); Food related(FooDB:FDB012456 HMDB:HMDB0034170 T3DB:T3D4892)",0
"HMDB0002641","C01772","2-Hydroxycinnamic acid","Food related; Drug related","Food related(FooDB:FDB011258 HMDB:HMDB0002641); Drug related(DrugBank:DB01650)",1
"HMDB0000729",NA,"2-Hydroxyisobutyric acid","Food related","Food related(FooDB:FDB022207)",1
"HMDB0059710",NA,"2-Hydroxynicotinic acid","Unknown",NA,0
"HMDB0031057",NA,"2-Hydroxypalmitic acid","Food related","Food related(HMDB:HMDB0031057)",0
"HMDB0000669","C05852","2-Hydroxyphenylacetic acid","Host; Microbiota; Food related","Microbiota(BIGG:2hyoxplac ChEBI:28478 HMDB:HMDB0000669 KEGG:C05852); Food related(FooDB:FDB012331 HMDB:HMDB0000669)",0
NA,"C06338","2-Hydroxyquinoline","Drug related","Drug related(DrugBank:DB04745)",1
NA,"C06338","2-Ketogluconic acid","Drug related","Drug related(DrugBank:DB04745)",0
"HMDB0000422",NA,"2-Methylglutaric acid","Food related","Food related(FooDB:FDB022036 HMDB:HMDB0000422)",0
"HMDB0000783",NA,"2-Propanamidoacetic acid","Food related","Food related(FooDB:FDB022240)",1
NA,"C06473","3-(1-Pyrazolyl)-alanine","Microbiota","Microbiota(BIGG:2dhglcn ChEBI:27469 KEGG:C06473)",0
"HMDB0000375","C11457","3-(3-Hydroxyphenyl)propionic acid","Microbiota; Food related","Microbiota(BIGG:3hpppn ChEBI:1427 HMDB:HMDB0000375 KEGG:C11457); Food related(FooDB:FDB021993)",0
"HMDB0000397","C00196","3-(Hydroxymethyl)phenol","Microbiota; Food related; Drug related","Microbiota(BIGG:23dhb KEGG:C00196); Food related(FooDB:FDB012200 HMDB:HMDB0000397); Drug related(DrugBank:DB01672)",0
"HMDB0001856","C00230","3,4-Dihydroxybenzoic acid","Microbiota; Food related; Drug related","Microbiota(BIGG:34dhbz ChEBI:36062,36241 HMDB:HMDB0001856 KEGG:C00230); Food related(FooDB:FDB031135 HMDB:HMDB0001856); Drug related(DrugBank:DB03946)",0
"HMDB0001336","C01161","3,4-Dihydroxyphenylacetic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:34dhpacet HMDB:HMDB0001336 KEGG:C01161); Food related(FooDB:FDB000316 HMDB:HMDB0001336); Drug related(DrugBank:DB01702)",0
NA,"C01162","3-[3-Tert-butylsulfanyl-1-[(4-chlorophenyl)methyl-5-propan-2-ylindol-2-yl-2,2-dimethylpropanoic acid","Unknown",NA,0
"HMDB0061112",NA,"3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid","Food related; Drug related","Food related(FooDB:FDB093609 HMDB:HMDB0061112 T3DB:T3D4197); Drug related(DrugBank:DB07517)",0
NA,NA,"3-Deoxyuridine","Unknown",NA,0
"HMDB0000428",NA,"3-Hydroxyglutaric acid","Food related; Drug related","Food related(FooDB:FDB022040 T3DB:T3D4357); Drug related(DrugBank:DB04594)",0
"HMDB0000440","C05593","3-Hydroxyphenylacetic acid","Microbiota; Food related","Microbiota(BIGG:3hoxpac HMDB:HMDB0000440 KEGG:C05593); Food related(FooDB:FDB022047)",0
"HMDB0000700","C01013","3-Hydroxypropanoic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:3hpp HMDB:HMDB0000700 KEGG:C01013); Food related(FooDB:FDB030432 HMDB:HMDB0000700 T3DB:T3D4304); Drug related(DrugBank:DB03688)",0
"HMDB0000197","C00954","3-Indoleacetic acid","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:ind3ac HMDB:HMDB0000197 KEGG:C00954); Food related(FooDB:FDB030920 HMDB:HMDB0000197 T3DB:T3D4152); Drug related(DrugBank:DB07950); Environment(T3DB:T3D4152)",0
"HMDB0002302",NA,"3-Indolepropionic acid","Microbiota; Food related; Drug related","Microbiota(HMDB:HMDB0002302); Food related(FooDB:FDB000941 HMDB:HMDB0002302); Drug related(DrugBank:DB02758)",0
"HMDB0059712","C03351","3-Isochromanone","Food related","Food related(FooDB:FDB017666 HMDB:HMDB0038331)",0
"HMDB0000555",NA,"3-Methyladipic acid","Food related","Food related(FooDB:FDB022115 HMDB:HMDB0000555)",0
"HMDB0000752",NA,"3-Methylglutaric acid","Food related","Food related(FooDB:FDB022224 HMDB:HMDB0000752)",0
"HMDB0000479","C01152","3-Methylhistidine","Host; Microbiota; Food related","Microbiota(BIGG:NPmehis ChEBI:27596); Food related(FooDB:FDB093613)",0
"HMDB0006038",NA,"3-O-Methylguanosine","Food related","Food related(FooDB:FDB023814)",0
NA,NA,"3-O-Methyluridine","Unknown",NA,1
NA,NA,"4,5,7-Trihydroxyisoflavone","Unknown",NA,0
NA,"C07728","4,6-Dihydroxypyrimidine","Unknown",NA,1
"HMDB0061881","C02129","4-Acetylbutyric acid","Food related","Food related(HMDB:HMDB0061881)",1
"HMDB0000500","C00156","4-Hydroxybenzoic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:4hbz ChEBI:17879,30763 HMDB:HMDB0000500 KEGG:C00156); Food related(FooDB:FDB010508 HMDB:HMDB0000500); Drug related(DrugBank:DB04242)",0
"HMDB0013678",NA,"4-Hydroxyhippuric acid","Microbiota; Food related","Microbiota(HMDB:HMDB0013678); Food related(FooDB:FDB029984)",0
"HMDB0061881","C02129","4-Hydroxymandelonitrile","Food related","Food related(HMDB:HMDB0061881)",0
"HMDB0246466","C00650","4-Hydroxyquinoline","Unknown",NA,0
"HMDB0035268","C06578","4-Isopropylbenzoic acid","Microbiota; Food related","Microbiota(ChEBI:25822,28122 KEGG:C06578); Food related(FooDB:FDB013929 HMDB:HMDB0035268)",0
"HMDB0246466","C06343","4-Pregnen-17.alpha., 20.alpha.-diol-3-one","Unknown",NA,0
"HMDB0000017","C00847","4-Pyridoxic acid","Host; Microbiota; Food related","Microbiota(KEGG:C00847); Food related(FooDB:FDB021874)",0
"HMDB0246588",NA,"4-Thiouridine","Unknown",NA,0
"HMDB0011653","C04518","5-(Acetylamino)-2-hydroxybenzoic acid","Host; Food related","Food related(FooDB:FDB028344 HMDB:HMDB0011653)",0
"HMDB0014389","C07138","5-Aminosalicylic acid","Drug related","Drug related(DrugBank:DB00244 KEGG:C07138,D00377)",0
"HMDB0000472","C00643","5-Hydroxytryptophan","Host; Microbiota; Food related; Drug related","Microbiota(KEGG:C00643,D07339); Food related(FooDB:FDB006231 HMDB:HMDB0000472 T3DB:T3D4298); Drug related(DrugBank:DB02959 KEGG:C00643,D07339 T3DB:T3D4298)",0
"HMDB0000982",NA,"5-Methylcytidine","Food related","Food related(FooDB:FDB022351)",0
"HMDB0000884",NA,"5-Methyluridine","Microbiota; Food related","Microbiota(ChEBI:45996); Food related(FooDB:FDB022298)",0
NA,NA,"6,6-Dihydroxy-5,5-dimethoxybiphenyl-3,3-dicarboxylic acid","Unknown",NA,1
"HMDB0030819","C09263","6,7-Dihydroxycoumarin","Food related","Food related(FooDB:FDB002775 HMDB:HMDB0030819)",0
"HMDB0033585",NA,"6-Methyl-1,2,3-oxathiazin-4(3H)-one 2,2-dioxide","Food related; Drug related","Food related(FooDB:FDB011661 HMDB:HMDB0033585); Drug related(DrugBank:DB16868)",0
"HMDB0003217","C06563","8-(3-Octyl-2-oxiranyl)octanoic acid","Microbiota; Food related; Drug related; Environment","Microbiota(ChEBI:28088 KEGG:C06563,D11680); Food related(FooDB:FDB011828 HMDB:HMDB0003217 T3DB:T3D3963); Drug related(DrugBank:DB01645 KEGG:C06563,D11680); Environment(HMDB:HMDB0003217 T3DB:T3D3963)",0
"HMDB0004704","C14828","9,10-Dihydroxy-12Z-octadecenoic acid","Food related","Food related(FooDB:FDB023415 HMDB:HMDB0004704)",0
"HMDB0035140","C06082","Abscisic acid","Food related","Food related(FooDB:FDB013776 HMDB:HMDB0035140)",0
"HMDB0247933","C03248","Acetylenedicarboxylic acid","Unknown",NA,0
"HMDB0000072","C00417","Aconitic acid","Host; Microbiota; Food related","Microbiota(BIGG:acon_C ChEBI:16383,32805 KEGG:C00417); Food related(FooDB:FDB008306 HMDB:HMDB0000072)",1
"HMDB0000034","C00147","Adenine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:ade ChEBI:16708 KEGG:C00147,D00034); Food related(FooDB:FDB012266 HMDB:HMDB0000034 T3DB:T3D4279); Drug related(DrugBank:DB00173 KEGG:C00147,D00034 T3DB:T3D4279)",0
"HMDB0000448","C06104","Adipic acid","Microbiota; Food related; Drug related; Environment","Microbiota(HMDB:HMDB0000448 KEGG:C06104,D08839); Food related(FooDB:FDB008309 HMDB:HMDB0000448); Drug related(KEGG:C06104,D08839); Environment(HMDB:HMDB0000448)",0
"HMDB0003459","C00993","Ala-Ala","Microbiota; Food related","Microbiota(BIGG:alaala ChEBI:16576 HMDB:HMDB0003459 KEGG:C00993); Food related(FooDB:FDB003740 HMDB:HMDB0003459)",0
"HMDB0028690",NA,"Ala-Ile","Food related","Food related(FooDB:FDB111749)",0
"HMDB0028691",NA,"Ala-Leu","Food related","Food related(FooDB:FDB111750)",0
"HMDB0000161","C00041","Alanine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:ala__L ChEBI:16977 KEGG:C00041,D00012); Food related(FooDB:FDB000556 HMDB:HMDB0000161); Drug related(DrugBank:DB00160 KEGG:C00041,D00012); Environment(HMDB:HMDB0000161)",0
"HMDB0028700",NA,"Ala-Val","Food related","Food related(FooDB:FDB111757)",0
"HMDB0014659","C01779","Albendazole","Drug related; Environment","Drug related(DrugBank:DB00518 KEGG:C01779,D00134 T3DB:T3D3476); Environment(T3DB:T3D3476)",0
"HMDB0002404",NA,"alpha-Hydroxyhippuric acid","Food related","Food related(FooDB:FDB022997)",0
"HMDB0033896",NA,"Anacardic acid diene","Food related","Food related(FooDB:FDB012091 HMDB:HMDB0033896)",0
"HMDB0000646","C02479","Arabinose","Microbiota; Food related; Drug related","Microbiota(HMDB:HMDB0000646); Food related(FooDB:FDB012306 HMDB:HMDB0000646); Drug related(DrugBank:DB03246)",0
"HMDB0000568","C01904","Arabitol","Microbiota; Food related","Microbiota(BIGG:abt__D HMDB:HMDB0000568 KEGG:C01904); Food related(FooDB:FDB001475 HMDB:HMDB0000568)",0
NA,NA,"Arachidonyl dopamine","Unknown",NA,0
"HMDB0000517","C00062","Arginine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:arg__L ChEBI:16467 KEGG:C00062,D02982); Food related(FooDB:FDB002257 HMDB:HMDB0000517 T3DB:T3D4289); Drug related(DrugBank:DB00125 KEGG:C00062,D02982 T3DB:T3D4289); Environment(HMDB:HMDB0000517 T3DB:T3D4289)",0
"HMDB0000168","C00152","Asparagine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:asn__L ChEBI:17196 KEGG:C00152); Food related(FooDB:FDB000787 HMDB:HMDB0000168 T3DB:T3D4362); Drug related(DrugBank:DB00174 T3DB:T3D4362); Environment(HMDB:HMDB0000168)",0
"HMDB0000191","C00049","Aspartic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:asp__L ChEBI:17053 KEGG:C00049,D00013); Food related(FooDB:FDB012567 HMDB:HMDB0000191); Drug related(DrugBank:DB00128 KEGG:C00049,D00013)",0
"HMDB0000706",NA,"Asp-Phe","Food related","Food related(FooDB:FDB002275 HMDB:HMDB0000706)",0
"HMDB0001870","C00539","Benzoic acid","Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:bz ChEBI:16150,30746 HMDB:HMDB0001870 KEGG:C00180,C00539,D00038); Food related(FooDB:FDB008739 HMDB:HMDB0001870 T3DB:T3D4785); Drug related(DrugBank:DB03793 KEGG:C00180,C00539,D00038); Environment(HMDB:HMDB0001870 T3DB:T3D4785)",0
NA,"C18347","Benzylsuccinic acid","Microbiota","Microbiota(KEGG:C18347)",0
"HMDB0000754","C20827","beta-Hydroxyisovaleric acid","Food related; Drug related","Food related(FooDB:FDB022225 HMDB:HMDB0000754 T3DB:T3D4263); Drug related(DrugBank:DB15344)",0
"HMDB0010731",NA,"beta-Hydroxymyristic acid","Food related; Drug related","Food related(FooDB:FDB027878 HMDB:HMDB0010731); Drug related(DrugBank:DB02767)",0
"HMDB0000808",NA,"Butyrylglycine","Food related","Food related(FooDB:FDB022256)",0
"HMDB0247617","C19418","Carboxyibuprofen","Microbiota; Food related","Microbiota(KEGG:C19418); Food related(FooDB:FDB030637)",0
"HMDB0000033","C00386","Carnosine","Host; Microbiota; Food related; Drug related; Environment","Microbiota(KEGG:C00386); Food related(FooDB:FDB012937 HMDB:HMDB0000033); Drug related(DrugBank:DB11695); Environment(HMDB:HMDB0000033)",0
NA,"C12271","Cellobiose B","Unknown",NA,0
NA,"C07966","Cerivastatin","Drug related","Drug related(DrugBank:DB00439 KEGG:C07966,D07661)",0
"HMDB0002586",NA,"Chenodeoxycholic acid 3-sulfate","Microbiota; Food related","Microbiota(HMDB:HMDB0002586); Food related(FooDB:FDB023031 HMDB:HMDB0002586)",0
"HMDB0000653","C18043","Cholesterol 3-sulfate","Host; Microbiota; Food related; Drug related","Microbiota(KEGG:C18043); Food related(FooDB:FDB022164 HMDB:HMDB0000653); Drug related(DrugBank:DB01990)",0
"HMDB0000619","C00695","Cholic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:cholate KEGG:C00695,D10699); Food related(FooDB:FDB012810 HMDB:HMDB0000619 T3DB:T3D4343); Drug related(DrugBank:DB02659 KEGG:C00695,D10699)",0
"HMDB0000634","C02226","Citraconic acid","Microbiota; Food related; Drug related","Microbiota(BIGG:citac KEGG:C02226); Food related(FooDB:FDB022155 HMDB:HMDB0000634); Drug related(DrugBank:DB04734)",0
"HMDB0000904","C00327","Citrulline","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:citr__L ChEBI:16349 KEGG:C00327,D07706); Food related(FooDB:FDB011841 HMDB:HMDB0000904 T3DB:T3D4295); Drug related(DrugBank:DB00155 KEGG:C00327,D07706 T3DB:T3D4295)",0
"HMDB0141782","C02666","Coniferylaldehyde","Microbiota; Food related","Microbiota(BIGG:conialdh); Food related(FooDB:FDB001513)",0
"HMDB0250451","C08431","Cordycepin","Drug related","Drug related(DrugBank:DB12156)",0
"HMDB0000015","C05488","Cortodoxone","Host; Food related; Drug related","Food related(FooDB:FDB021872 HMDB:HMDB0000015); Drug related(KEGG:C05488,D03595)",0
"HMDB0000562","C00791","Creatinine","Microbiota; Food related; Drug related; Environment","Microbiota(BIGG:creat KEGG:C00791,D03600); Food related(FooDB:FDB021814 HMDB:HMDB0000562); Drug related(DrugBank:DB11846 KEGG:C00791,D03600); Environment(HMDB:HMDB0000562)",0
"HMDB0031340","C02824","Cyclohexanesulfamic acid","Food related; Drug related","Food related(HMDB:HMDB0031340); Drug related(KEGG:C02824,D02442)",0
"HMDB0002757","C00506","Cysteic Acid","Host; Microbiota; Food related","Microbiota(BIGG:Lcyst KEGG:C00506); Food related(FooDB:FDB023061)",0
"HMDB0000089","C00475","Cytidine","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:cytd ChEBI:17562 KEGG:C00475,D07769); Food related(FooDB:FDB021809 HMDB:HMDB0000089); Drug related(DrugBank:DB02097 KEGG:C00475,D07769)",0
"HMDB0000095","C00055","Cytidine-5-monophosphate","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:cmp ChEBI:17361,181630 KEGG:C00055,G10621); Food related(FooDB:FDB030736 HMDB:HMDB0000095); Drug related(DrugBank:DB03403)",0
"HMDB0003312","C10208","Daidzein","Host; Microbiota; Food related; Drug related","Microbiota(ChEBI:28197 KEGG:C10208); Food related(FooDB:FDB002608 HMDB:HMDB0003312 T3DB:T3D3964); Drug related(DrugBank:DB13182)",0
NA,"C13154","Dehydrocholic acid","Drug related","Drug related(DrugBank:DB11622 KEGG:C13154,D01693)",0
"HMDB0001032","C04555","Dehydroepiandrosterone sulfate","Host; Microbiota; Food related; Drug related","Microbiota(KEGG:C04555); Food related(FooDB:FDB022381 HMDB:HMDB0001032 T3DB:T3D4242); Drug related(DrugBank:DB05804)",0
"HMDB0038457","C16952","Dihydrocapsaicin","Food related","Food related(FooDB:FDB017816 HMDB:HMDB0038457)",0
"HMDB0000528","C00337","Dihydroorotic acid","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:dhor__S KEGG:C00337); Food related(FooDB:FDB022096); Drug related(DrugBank:DB02129)",0
"HMDB0000623","C02678","Dodecanedioic acid","Food related","Food related(FooDB:FDB022148 HMDB:HMDB0000623)",0
"HMDB0251662","C13776","E-4031","Unknown",NA,0
"HMDB0006101","C18165","Enterolactone","Food related","Food related(FooDB:FDB002488 HMDB:HMDB0006101 T3DB:T3D3967)",0
"HMDB0001871","C09727","Epicatechin","Food related; Drug related","Food related(FooDB:FDB003761 HMDB:HMDB0001871); Drug related(DrugBank:DB12039)",1
"HMDB0013230",NA,"Epitestosterone sulfate","Food related","Food related(FooDB:FDB029347 HMDB:HMDB0013230)",0
"HMDB0031233",NA,"Ethyl sulfate","Food related","Food related(HMDB:HMDB0031233)",0
NA,NA,"Ethyl-beta-glucuronide","Unknown",NA,0
"HMDB0000622",NA,"Ethylmalonic acid","Food related","Food related(FooDB:FDB022147 HMDB:HMDB0000622 T3DB:T3D4461)",0
"HMDB0015108","D01966","Ezetimibe","Drug related","Drug related(DrugBank:DB00973 KEGG:D01966)",0
"HMDB0000055","C06422","FAHFA 36:2","Microbiota; Food related","Microbiota(BIGG:cellb HMDB:HMDB0000055 KEGG:C06422,G00289); Food related(FooDB:FDB007497 HMDB:HMDB0000055)",0
"HMDB0000954","C01494","Ferulic acid","Microbiota; Food related; Drug related","Microbiota(BIGG:fer ChEBI:17620,193350 HMDB:HMDB0000954 KEGG:C01494); Food related(FooDB:FDB012802 HMDB:HMDB0000954); Drug related(DrugBank:DB07767)",0
"HMDB0001248","C00016","Flavin adenine dinucleotide","Host; Microbiota; Food related; Drug related","Microbiota(BIGG:fad ChEBI:16238 KEGG:C00016,D00005); Food related(FooDB:FDB022511 HMDB:HMDB0001248); Drug related(DrugBank:DB03147 KEGG:C00016,D00005)",0
